name,title,amount,desc,type,utf8,func
scotswheatfirlot,scotswheatpeck,4,,scots,,
scotswheatboll,scotswheatfirlot,4,,scots,,
scotswheatchalder,scotswheatboll,16,,scots,,
scotsoatlippy,UKinch^3,200.345,Also used for barley and malt,scots,,
scotsoatlippies,scotsoatlippy,,,scots,,
scotsoatpeck,scotsoatlippy,4,,scots,,
scotsoatfirlot,scotsoatpeck,4,,scots,,
scotsoatboll,scotsoatfirlot,4,,scots,,
scotsoatchalder,scotsoatboll,16,,scots,,
trondrop,tronounce,1|16,,scots,,
tronounce,tronpound,1|20,,scots,,
tronpound,grain,9520,,scots,,
tronstone,tronpound,16,,scots,,
verklinje,mm,2.0618125,,swedish,,
verktum,verklinje,12,,swedish,,
kvarter,verktum,6,,swedish,,
fot,kvarter,2,,swedish,,
aln,fot,2,,swedish,,
famn,aln,3,,swedish,,
zentner,kg,50,,german,,
doppelzentner,zentner,2,,german,,
pfund,g,500,,german,,
australiasquare,ft)^2,(10,Used for house area,australian,,
winepint,winequart,1|2,,english,,
winequart,winegallon,1|4,,english,,
winegallon,UKinch^3,231,"Sometimes called the Winchester Wine Gallon,",english,,
winerundlet,winegallon,18,,english,,
winebarrel,winegallon,31.5,,english,,
winetierce,winegallon,42,,english,,
winehogshead,winebarrel,2,,english,,
winepuncheon,winetierce,2,,english,,
winebutt,winehogshead,2,,english,,
winepipe,winebutt,,,english,,
winetun,winebutt,2,,english,,
beerpint,beerquart,1|2,,english,,
beerquart,beergallon,1|4,,english,,
beergallon,UKinch^3,282,,english,,
beerbarrel,beergallon,36,,english,,
beerhogshead,beerbarrel,1.5,,english,,
alepint,alequart,1|2,,english,,
alequart,alegallon,1|4,,english,,
alegallon,beergallon,,,english,,
alebarrel,alegallon,34,,english,,
alehogshead,alebarrel,1.5,,english,,
towerpound,grain,5400,,english,,
towerounce,towerpound,1|12,,english,,
towerpennyweight,towerounce,1|20,,english,,
towergrain,towerpennyweight,1|32,,english,,
mercpound,grain,6750,,english,,
mercounce,mercpound,1|15,,english,,
mercpennyweight,mercounce,1|20,,english,,
leadstone,lb,12.5,,english,,
fotmal,lb,70,,english,,
leadwey,leadstone,14,,english,,
fothers,leadwey,12,,english,,
newhaytruss,lb,60,"New and old here seem to refer to ""new""",english,,
newhayload,newhaytruss,36,"hay and ""old"" hay rather than a new unit",english,,
oldhaytruss,lb,56,and an old unit.,english,,
oldhayload,oldhaytruss,36,,english,,
woolclove,lb,7,,english,,
woolstone,woolclove,2,,english,,
wooltod,woolstone,2,,english,,
woolwey,woolstone,13,,english,,
woolsack,woolwey,2,,english,,
woolsarpler,woolsack,2,,english,,
woollast,woolsarpler,6,,english,,
romanfoot,mm,296,There is some uncertainty in this definition,roman,,
romanfeet,romanfoot,,from which all the other units are derived.,roman,,
pes,romanfoot,,"This value appears in numerous sources. In ""The",roman,,
pedes,romanfoot,,"Roman Land Surveyors"", Dilke gives 295.7 mm.",roman,,
romaninch,romanfoot,1|12,The subdivisions of the Roman foot have the,roman,,
romandigit,romanfoot,1|16,"same names as the subdivisions of the pound,",roman,,
romanpalm,romanfoot,1|4,but we can't have the names for different,roman,,
romancubit,romaninch,18,units.,roman,,
romanpace,romanfeet,5,Roman double pace (basic military unit),roman,,
passus,romanpace,,,roman,,
romanperch,romanfeet,10,,roman,,
stade,romanpaces,125,,roman,,
stadia,stade,,,roman,,
stadium,stade,,,roman,,
romanmile,stadia,8,1000 paces,roman,,
romanleague,romanmile,1.5,,roman,,
schoenus,romanmile,4,,roman,,
earlyromanfoot,cm,29.73,,roman,,
pesdrusianus,cm,33.3,"or 33.35 cm, used in Gaul & Germany in 1st c BC",roman,,
lateromanfoot,cm,29.42,,roman,,
actuslength,romanfeet,120,length of a Roman furrow,roman,,
actus,romanfeet^2,120*4,area of the furrow,roman,,
squareactus,romanfeet^2,120^2,actus quadratus,roman,,
acnua,squareactus,,,roman,,
iugerum,squareactus,2,,roman,,
iugera,iugerum,,,roman,,
jugerum,iugerum,,,roman,,
jugera,iugerum,,,roman,,
heredium,iugera,2,heritable plot,roman,,
heredia,heredium,,,roman,,
centuria,heredia,100,,roman,,
centurium,centuria,,,roman,,
sextarius,in^3,35.4,"Basic unit of Roman volume.  As always,",roman,,
sextarii,sextarius,,there is uncertainty.  Six large Roman,roman,,
cochlearia,sextarius,1|48,,roman,,
cyathi,sextarius,1|12,,roman,,
acetabula,sextarius,1|8,,roman,,
quartaria,sextarius,1|4,,roman,,
quartarius,quartaria,,,roman,,
heminae,sextarius,1|2,,roman,,
hemina,heminae,,,roman,,
cheonix,sextarii,1.5,,roman,,
semodius,sextarius,8,,roman,,
semodii,semodius,,,roman,,
modius,sextarius,16,,roman,,
modii,modius,,,roman,,
congius,heminae,12,,roman,,
congii,congius,,,roman,,
amphora,congii,8,,roman,,
amphorae,amphora,,Also a dry volume measure,roman,,
culleus,amphorae,20,,roman,,
quadrantal,amphora,,,roman,,
libra,grain,5052,The Roman pound varied significantly,roman,,
librae,libra,,from 4210 grains to 5232 grains.  Most of,roman,,
romanpound,libra,,the standards were obtained from the weight,roman,,
uncia,libra,1|12,of particular coins.  The one given here is,roman,,
unciae,uncia,,based on the Gold Aureus of Augustus which,roman,,
romanounce,uncia,,was in use from BC 27 to AD 296.,roman,,
deunx,uncia,11,,roman,,
dextans,uncia,10,,roman,,
dodrans,uncia,9,,roman,,
bes,uncia,8,,roman,,
seprunx,uncia,7,,roman,,
semis,uncia,6,,roman,,
quincunx,uncia,5,,roman,,
triens,uncia,4,,roman,,
quadrans,uncia,3,,roman,,
sextans,uncia,2,,roman,,
sescuncia,uncia,1.5,,roman,,
semuncia,uncia,1|2,,roman,,
siscilius,uncia,1|4,,roman,,
sextula,uncia,1|6,,roman,,
semisextula,uncia,1|12,,roman,,
scriptulum,uncia,1|24,,roman,,
scrupula,scriptulum,,,roman,,
romanobol,scrupula,1|2,,roman,,
romanaspound,grain,4210,"Old pound based on bronze coinage, the",roman,,
egyptianroyalcubit,in,20.63,plus or minus .2 in,egyptian,,
egyptianpalm,egyptianroyalcubit,1|7,,egyptian,,
egyptiandigit,egyptianpalm,1|4,,egyptian,,
egyptianshortcubit,egyptianpalm,6,,egyptian,,
doubleremen,in,29.16,Length of the diagonal of a square with,egyptian,,
remendigit,doubleremen,1|40,side length of 1 royal egyptian cubit.,egyptian,,
greekfoot,in,12.45,Listed as being derived from the,greek,,
greekfeet,greekfoot,,Egyptian Royal cubit in [11].  It is,greek,,
greekcubit,greekfoot,1.5,said to be 3|5 of a 20.75 in cubit.,greek,,
pous,greekfoot,,,greek,,
podes,greekfoot,,,greek,,
orguia,greekfoot,6,,greek,,
greekfathom,orguia,,,greek,,
stadion,orguia,100,,greek,,
akaina,greekfeet,10,,greek,,
plethron,akaina,10,,greek,,
greekfinger,greekfoot,1|16,,greek,,
homericcubit,greekfingers,20,Elbow to end of knuckles.,greek,,
shortgreekcubit,greekfingers,18,Elbow to start of fingers.,greek,,
ionicfoot,mm,296,,greek,,
doricfoot,mm,326,,greek,,
olympiccubit,remendigit,25,These olympic measures were not as,greek,,
olympicfoot,olympiccubit,2|3,common as the other greek measures.,greek,,
olympicfinger,olympicfoot,1|16,They were used in agriculture.,greek,,
olympicfeet,olympicfoot,,,greek,,
olympicdakylos,olympicfinger,,,greek,,
olympicpalm,olympicfoot,1|4,,greek,,
olympicpalestra,olympicpalm,,,greek,,
olympicspithame,foot,3|4,,greek,,
olympicspan,olympicspithame,,,greek,,
olympicbema,olympicfeet,2.5,,greek,,
olympicpace,olympicbema,,,greek,,
olympicorguia,olympicfeet,6,,greek,,
olympicfathom,olympicorguia,,,greek,,
olympiccord,olympicfeet,60,,greek,,
olympicamma,olympiccord,,,greek,,
olympicplethron,olympicfeet,100,,greek,,
olympicstadion,olympicfeet,600,,greek,,
greekkotyle,ml,270,This approximate value is obtained,greek,,
xestes,greekkotyle,2,from two earthenware vessels that,greek,,
khous,greekkotyle,12,were reconstructed from fragments.,greek,,
metretes,khous,12,The kotyle is a day's corn ration,greek,,
choinix,greekkotyle,4,for one man.,greek,,
hekteos,choinix,8,,greek,,
medimnos,hekteos,6,,greek,,
aeginastater,grain,192,Varies up to 199 grain,greek,,
aeginadrachmae,aeginastater,1|2,,greek,,
aeginaobol,aeginadrachmae,1|6,,greek,,
aeginamina,aeginastaters,50,,greek,,
aeginatalent,aeginamina,60,Supposedly the mass of a cubic foot,greek,,
atticstater,grain,135,Varies 134-138 grain,greek,,
atticdrachmae,atticstater,1|2,,greek,,
atticobol,atticdrachmae,1|6,,greek,,
atticmina,atticstaters,50,,greek,,
attictalent,atticmina,60,Supposedly the mass of a cubic foot,greek,,
northerncubit,in,26.6,plus/minus .2 in,northern,,
northernfoot,northerncubit,1|2,,northern,,
sumeriancubit,mm,495,,northern,,
kus,sumeriancubit,,,northern,,
sumerianfoot,sumeriancubit,2|3,,northern,,
assyriancubit,in,21.6,,northern,,
assyrianfoot,assyriancubit,1|2,,northern,,
assyrianpalm,assyrianfoot,1|3,,northern,,
assyriansusi,assyrianpalm,1|20,,northern,,
susi,assyriansusi,,,northern,,
persianroyalcubit,assyrianpalm,7,,northern,,
hashimicubit,in,25.56,Standard of linear measure used,arabic,,
blackcubit,in,21.28,,arabic,,
arabicfeet,blackcubit,1|2,,arabic,,
arabicfoot,arabicfeet,,,arabic,,
arabicinch,arabicfoot,1|12,,arabic,,
arabicmile,blackcubit,4000,,arabic,,
silverdirhem,grain,45,The weights were derived from these two,arabic,,
tradedirhem,grain,48,units with two identically named systems,arabic,,
silverkirat,silverdirhem,1|16,,arabic,,
silverwukiyeh,silverdirhem,10,,arabic,,
silverrotl,silverwukiyeh,12,,arabic,,
arabicsilverpound,silverrotl,,,arabic,,
tradekirat,tradedirhem,1|16,,arabic,,
tradewukiyeh,tradedirhem,10,,arabic,,
traderotl,tradewukiyeh,12,,arabic,,
arabictradepound,traderotl,,,arabic,,
timepoint,hour,1|5,also given as 1|4,medieval,,
timeminute,hour,1|10,,medieval,,
timeostent,hour,1|60,,medieval,,
timeounce,timeostent,1|8,,medieval,,
timeatom,timeounce,1|47,,medieval,,
mite,grain,1|20,,medieval,,
droit,mite,1|24,,medieval,,
periot,droit,1|20,,medieval,,
blanc,periot,1|24,,medieval,,
parasang,mile,3.5,Persian unit of length usually thought,ancient,,
biblicalcubit,in,21.8,,ancient,,
hebrewcubit,in,17.58,,ancient,,
li,mile,10|27.8,Chinese unit of length,ancient,,
liang,oz,11|3,Chinese weight unit,ancient,,
⅛-,1|8,,,symbols,true,
¼-,1|4,,,symbols,true,
⅜-,3|8,,,symbols,true,
½-,1|2,,,symbols,true,
⅝-,5|8,,,symbols,true,
¾-,3|4,,,symbols,true,
⅞-,7|8,,,symbols,true,
⅙-,1|6,,,symbols,true,
⅓-,1|3,,,symbols,true,
⅔-,2|3,,,symbols,true,
⅚-,5|6,,,symbols,true,
⅕-,1|5,,,symbols,true,
⅖-,2|5,,,symbols,true,
⅗-,3|5,,,symbols,true,
⅘-,4|5,,,symbols,true,
ℯ,exp(1),,"U+212F, base of natural log",symbols,true,
µ-,micro,,micro sign U+00B5,symbols,true,
μ-,micro,,small mu U+03BC,symbols,true,
ångström,angstrom,,,symbols,true,
Å,angstrom,,angstrom symbol U+212B,symbols,true,
Å,angstrom,,A with ring U+00C5,symbols,true,
röntgen,roentgen,,,symbols,true,
°C,degC,,,symbols,true,
°F,degF,,,symbols,true,
°K,K,,°K is incorrect notation,symbols,true,
°R,degR,,,symbols,true,
°,degree,,,symbols,true,
℃,degC,,,symbols,true,
℉,degF,,,symbols,true,
K,K,,"Kelvin symbol, U+212A",symbols,true,
ℓ,liter,,unofficial abbreviation used in some places,symbols,true,
Ω,ohm,,Ohm symbol U+2126,symbols,true,
Ω,ohm,,Greek capital omega U+03A9,symbols,true,
℧,mho,,,symbols,true,
ʒ,dram,,U+0292,symbols,true,
℈,scruple,,,symbols,true,
℥,ounce,,,symbols,true,
℔,lb,,,symbols,true,
ℎ,hplanck,,,symbols,true,
ℏ,hbar,,,symbols,true,
‰,1|1000,,,symbols,true,
‱,1|10000,,,symbols,true,
′,',,U+2032,symbols,true,
″,"""",,U+2033,symbols,true,
¢,cent,,,symbols,true,
£,britainpound,,,symbols,true,
¥,japanyen,,,symbols,true,
€,euro,,,symbols,true,
₩,southkoreawon,,,symbols,true,
₪,israelnewshekel,,,symbols,true,
₤,lira,,,symbols,true,
₨,rupee,,unofficial legacy rupee sign,symbols,true,
฿,thailandbaht,,,symbols,true,
₡,elsalvadorcolon,,Also costaricacolon,symbols,true,
₣,francefranc,,,symbols,true,
₦,nigerianaira,,,symbols,true,
₧,spainpeseta,,,symbols,true,
₫,vietnamdong,,,symbols,true,
₭,laokip,,,symbols,true,
₮,mongoliatugrik,,,symbols,true,
₯,greecedrachma,,,symbols,true,
₱,philippinepeso,,,symbols,true,
﷼,iranrial,,,symbols,true,
﹩,$,,,symbols,true,
￠,¢,,,symbols,true,
￡,£,,,symbols,true,
￥,¥,,,symbols,true,
￦,₩,,,symbols,true,
㍱,hPa,,,symbols,true,
㍲,da,,,symbols,true,
㍳,au,,,symbols,true,
㍴,bar,,,symbols,true,
㍶,pc,,,symbols,true,
㎀,pA,,,symbols,true,
㎁,nA,,,symbols,true,
㎂,µA,,,symbols,true,
㎃,mA,,,symbols,true,
㎄,kA,,,symbols,true,
㎅,kB,,,symbols,true,
㎆,MB,,,symbols,true,
㎇,GB,,,symbols,true,
㎈,cal,,,symbols,true,
㎉,kcal,,,symbols,true,
㎊,pF,,,symbols,true,
㎋,nF,,,symbols,true,
㎌,µF,,,symbols,true,
㎍,µg,,,symbols,true,
㎎,mg,,,symbols,true,
㎏,kg,,,symbols,true,
㎐,Hz,,,symbols,true,
㎑,kHz,,,symbols,true,
㎒,MHz,,,symbols,true,
㎓,GHz,,,symbols,true,
㎔,THz,,,symbols,true,
㎕,µL,,,symbols,true,
㎖,mL,,,symbols,true,
㎗,dL,,,symbols,true,
㎘,kL,,,symbols,true,
㎙,fm,,,symbols,true,
㎚,nm,,,symbols,true,
㎛,µm,,,symbols,true,
㎜,mm,,,symbols,true,
㎝,cm,,,symbols,true,
㎞,km,,,symbols,true,
㎟,mm^2,,,symbols,true,
㎠,cm^2,,,symbols,true,
㎡,m^2,,,symbols,true,
㎢,km^2,,,symbols,true,
㎣,mm^3,,,symbols,true,
㎤,cm^3,,,symbols,true,
㎥,m^3,,,symbols,true,
㎦,km^3,,,symbols,true,
㎧,m/s,,,symbols,true,
㎨,m/s^2,,,symbols,true,
㎩,Pa,,,symbols,true,
㎪,kPa,,,symbols,true,
㎫,MPa,,,symbols,true,
㎬,GPa,,,symbols,true,
㎭,rad,,,symbols,true,
㎮,rad/s,,,symbols,true,
㎯,rad/s^2,,,symbols,true,
㎰,ps,,,symbols,true,
㎱,ns,,,symbols,true,
㎲,µs,,,symbols,true,
㎳,ms,,,symbols,true,
㎴,pV,,,symbols,true,
㎵,nV,,,symbols,true,
㎶,µV,,,symbols,true,
㎷,mV,,,symbols,true,
㎸,kV,,,symbols,true,
㎹,MV,,,symbols,true,
㎺,pW,,,symbols,true,
㎻,nW,,,symbols,true,
㎼,µW,,,symbols,true,
㎽,mW,,,symbols,true,
㎾,kW,,,symbols,true,
㎿,MW,,,symbols,true,
㏀,kΩ,,,symbols,true,
㏁,MΩ,,,symbols,true,
㏃,Bq,,,symbols,true,
㏄,cc,,,symbols,true,
㏅,cd,,,symbols,true,
㏆,C/kg,,,symbols,true,
㏈(),dB,,,symbols,true,true
㏉,Gy,,,symbols,true,true
㏊,ha,,,symbols,true,true
㏌,in,,,symbols,true,true
㏏,kt,,,symbols,true,true
㏐,lm,,,symbols,true,true
㏓,lx,,,symbols,true,true
㏔,mb,,,symbols,true,true
㏕,mil,,,symbols,true,true
㏖,mol,,,symbols,true,true
㏗(),pH,,,symbols,true,true
㏙,ppm,,,symbols,true,true
㏛,sr,,,symbols,true,true
㏜,Sv,,,symbols,true,true
㏝,Wb,,,symbols,true,true
